,Unnamed: 0,PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3
0,0,1,0,22.0,1,0,7.25,1,0,0,0,1,0,1,0,0,1
1,1,2,1,38.0,1,0,71.2833,0,1,1,0,0,1,0,1,0,0
2,2,3,1,26.0,0,0,7.925,1,0,0,0,1,1,0,0,0,1
3,3,4,1,35.0,1,0,53.1,0,1,0,0,1,1,0,1,0,0
4,4,5,0,35.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
5,5,6,0,23.838952586083504,0,0,8.4583,1,0,0,1,0,0,1,0,0,1
6,6,7,0,54.0,0,0,51.8625,0,1,0,0,1,0,1,1,0,0
7,7,8,0,2.0,3,1,21.075,1,0,0,0,1,0,1,0,0,1
8,8,9,1,27.0,0,2,11.1333,1,0,0,0,1,1,0,0,0,1
9,9,10,1,14.0,1,0,30.0708,1,0,1,0,0,1,0,0,1,0
10,10,11,1,4.0,1,1,16.7,0,1,0,0,1,1,0,0,0,1
11,11,12,1,58.0,0,0,26.55,0,1,0,0,1,1,0,1,0,0
12,12,13,0,20.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
13,13,14,0,39.0,1,5,31.275,1,0,0,0,1,0,1,0,0,1
14,14,15,0,14.0,0,0,7.8542,1,0,0,0,1,1,0,0,0,1
15,15,16,1,55.0,0,0,16.0,1,0,0,0,1,1,0,0,1,0
16,16,17,0,2.0,4,1,29.125,1,0,0,1,0,0,1,0,0,1
17,17,18,1,32.06649305006158,0,0,13.0,1,0,0,0,1,0,1,0,1,0
18,18,19,0,31.0,1,0,18.0,1,0,0,0,1,1,0,0,0,1
19,19,20,1,29.518205142080145,0,0,7.225,1,0,1,0,0,1,0,0,0,1
20,20,21,0,35.0,0,0,26.0,1,0,0,0,1,0,1,0,1,0
21,21,22,1,34.0,0,0,13.0,0,1,0,0,1,0,1,0,1,0
22,22,23,1,15.0,0,0,8.0292,1,0,0,1,0,1,0,0,0,1
23,23,24,1,28.0,0,0,35.5,0,1,0,0,1,0,1,1,0,0
24,24,25,0,8.0,3,1,21.075,1,0,0,0,1,1,0,0,0,1
25,25,26,1,38.0,1,5,31.3875,1,0,0,0,1,1,0,0,0,1
26,26,27,0,29.518205142080145,0,0,7.225,1,0,1,0,0,0,1,0,0,1
27,27,28,0,19.0,3,2,263.0,0,1,0,0,1,0,1,1,0,0
28,28,29,1,22.380113238826777,0,0,7.8792,1,0,0,1,0,1,0,0,0,1
29,29,30,0,27.94720616293084,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
30,30,31,0,40.0,0,0,27.7208,1,0,1,0,0,0,1,1,0,0
31,31,32,1,36.108048222222244,1,0,146.5208,0,1,1,0,0,1,0,1,0,0
32,32,33,1,35.29582429902352,0,0,7.75,1,0,0,1,0,1,0,0,0,1
33,33,34,0,66.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
34,34,35,0,28.0,1,0,82.1708,1,0,1,0,0,0,1,1,0,0
35,35,36,0,42.0,1,0,52.0,1,0,0,0,1,0,1,1,0,0
36,36,37,1,22.876306861888104,0,0,7.2292,1,0,1,0,0,0,1,0,0,1
37,37,38,0,21.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
38,38,39,0,18.0,2,0,18.0,1,0,0,0,1,1,0,0,0,1
39,39,40,1,14.0,1,0,11.2417,1,0,1,0,0,1,0,0,0,1
40,40,41,0,40.0,1,0,9.475,1,0,0,0,1,1,0,0,0,1
41,41,42,0,27.0,1,0,21.0,1,0,0,0,1,1,0,0,1,0
42,42,43,0,27.94720616293084,0,0,7.8958,1,0,1,0,0,0,1,0,0,1
43,43,44,1,3.0,1,2,41.5792,1,0,1,0,0,1,0,0,1,0
44,44,45,1,19.0,0,0,7.8792,1,0,0,1,0,1,0,0,0,1
45,45,46,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1
46,46,47,0,33.12898535353537,1,0,15.5,1,0,0,1,0,0,1,0,0,1
47,47,48,1,35.29582429902352,0,0,7.75,1,0,0,1,0,1,0,0,0,1
48,48,49,0,23.45968333333333,2,0,21.6792,1,0,1,0,0,0,1,0,0,1
49,49,50,0,18.0,1,0,17.8,1,0,0,0,1,1,0,0,0,1
50,50,51,0,7.0,4,1,39.6875,1,0,0,0,1,0,1,0,0,1
51,51,52,0,21.0,0,0,7.8,1,0,0,0,1,0,1,0,0,1
52,52,53,1,49.0,1,0,76.7292,0,1,1,0,0,1,0,1,0,0
53,53,54,1,29.0,1,0,26.0,1,0,0,0,1,1,0,0,1,0
54,54,55,0,65.0,0,1,61.9792,0,1,1,0,0,0,1,1,0,0
55,55,56,1,44.06483035714284,0,0,35.5,0,1,0,0,1,0,1,1,0,0
56,56,57,1,21.0,0,0,10.5,1,0,0,0,1,1,0,0,1,0
57,57,58,0,28.5,0,0,7.2292,1,0,1,0,0,0,1,0,0,1
58,58,59,1,5.0,1,2,27.75,1,0,0,0,1,1,0,0,1,0
59,59,60,0,11.0,5,2,46.9,1,0,0,0,1,0,1,0,0,1
60,60,61,0,22.0,0,0,7.2292,1,0,1,0,0,0,1,0,0,1
61,61,62,1,38.0,0,0,80.0,0,1,0,0,0,1,0,1,0,0
62,62,63,0,45.0,1,0,83.475,0,1,0,0,1,0,1,1,0,0
63,63,64,0,4.0,3,2,27.9,1,0,0,0,1,0,1,0,0,1
64,64,65,0,41.200088477638616,0,0,27.7208,1,0,1,0,0,0,1,1,0,0
65,65,66,1,17.099915952380954,1,1,15.2458,1,0,1,0,0,0,1,0,0,1
66,66,67,1,29.0,0,0,10.5,0,1,0,0,1,1,0,0,1,0
67,67,68,0,19.0,0,0,8.1583,1,0,0,0,1,0,1,0,0,1
68,68,69,1,17.0,4,2,7.925,1,0,0,0,1,1,0,0,0,1
69,69,70,0,26.0,2,0,8.6625,1,0,0,0,1,0,1,0,0,1
70,70,71,0,32.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0
71,71,72,0,16.0,5,2,46.9,1,0,0,0,1,1,0,0,0,1
72,72,73,0,21.0,0,0,73.5,1,0,0,0,1,0,1,0,1,0
73,73,74,0,26.0,1,0,14.4542,1,0,1,0,0,0,1,0,0,1
74,74,75,1,32.0,0,0,56.4958,1,0,0,0,1,0,1,0,0,1
75,75,76,0,25.0,0,0,7.65,0,1,0,0,1,0,1,0,0,1
76,76,77,0,27.94720616293084,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
77,77,78,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1
78,78,79,1,0.83,0,2,29.0,1,0,0,0,1,0,1,0,1,0
79,79,80,1,30.0,0,0,12.475,1,0,0,0,1,1,0,0,0,1
80,80,81,0,22.0,0,0,9.0,1,0,0,0,1,0,1,0,0,1
81,81,82,1,29.0,0,0,9.5,1,0,0,0,1,0,1,0,0,1
82,82,83,1,23.322627388583676,0,0,7.7875,1,0,0,1,0,1,0,0,0,1
83,83,84,0,28.0,0,0,47.1,1,0,0,0,1,0,1,1,0,0
84,84,85,1,17.0,0,0,10.5,1,0,0,0,1,1,0,0,1,0
85,85,86,1,33.0,3,0,15.85,1,0,0,0,1,1,0,0,0,1
86,86,87,0,16.0,1,3,34.375,1,0,0,0,1,0,1,0,0,1
87,87,88,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1
88,88,89,1,23.0,3,2,263.0,0,1,0,0,1,1,0,1,0,0
89,89,90,0,24.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
90,90,91,0,29.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
91,91,92,0,20.0,0,0,7.8542,1,0,0,0,1,0,1,0,0,1
92,92,93,0,46.0,1,0,61.175,0,1,0,0,1,0,1,1,0,0
93,93,94,0,26.0,1,2,20.575,1,0,0,0,1,0,1,0,0,1
94,94,95,0,59.0,0,0,7.25,1,0,0,0,1,0,1,0,0,1
95,95,96,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,1,0,0,1
96,96,97,0,71.0,0,0,34.6542,0,1,1,0,0,0,1,1,0,0
97,97,98,1,23.0,0,1,63.3583,0,1,1,0,0,0,1,1,0,0
98,98,99,1,34.0,0,1,23.0,1,0,0,0,1,1,0,0,1,0
99,99,100,0,34.0,1,0,26.0,1,0,0,0,1,0,1,0,1,0
100,100,101,0,28.0,0,0,7.8958,1,0,0,0,1,1,0,0,0,1
101,101,102,0,27.94720616293084,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
102,102,103,0,21.0,0,1,77.2875,0,1,0,0,1,0,1,1,0,0
103,103,104,0,33.0,0,0,8.6542,1,0,0,0,1,0,1,0,0,1
104,104,105,0,37.0,2,0,7.925,1,0,0,0,1,0,1,0,0,1
105,105,106,0,28.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
106,106,107,1,21.0,0,0,7.65,1,0,0,0,1,1,0,0,0,1
107,107,108,1,27.51545426285116,0,0,7.775,1,0,0,0,1,0,1,0,0,1
108,108,109,0,38.0,0,0,7.8958,1,0,0,0,1,0,1,0,0,1
109,109,110,1,33.55117590897664,1,0,24.15,1,0,0,1,0,1,0,0,0,1
110,110,111,0,47.0,0,0,52.0,0,1,0,0,1,0,1,1,0,0
111,111,112,0,14.5,1,0,14.4542,1,0,1,0,0,1,0,0,0,1
112,112,113,0,22.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1
113,113,114,0,20.0,1,0,9.825,1,0,0,0,1,1,0,0,0,1
114,114,115,0,17.0,0,0,14.4583,1,0,1,0,0,1,0,0,0,1
115,115,116,0,21.0,0,0,7.925,1,0,0,0,1,0,1,0,0,1
116,116,117,0,70.5,0,0,7.75,1,0,0,1,0,0,1,0,0,1
117,117,118,0,29.0,1,0,21.0,1,0,0,0,1,0,1,0,1,0
118,118,119,0,24.0,0,1,247.5208,0,1,1,0,0,0,1,1,0,0
119,119,120,0,2.0,4,2,31.275,1,0,0,0,1,1,0,0,0,1
