,Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3
0,0,1,0,1,0,0,0,1,0,1,0,0,1
1,1,1,0,0,1,1,0,0,1,0,1,0,0
2,1,0,0,1,0,0,0,1,1,0,0,0,1
3,1,1,0,0,1,0,0,1,1,0,1,0,0
4,0,0,0,1,0,0,0,1,0,1,0,0,1
5,0,0,0,1,0,0,1,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1,0,1,1,0,0
7,0,3,1,1,0,0,0,1,0,1,0,0,1
8,1,0,2,1,0,0,0,1,1,0,0,0,1
9,1,1,0,1,0,1,0,0,1,0,0,1,0
10,1,1,1,0,1,0,0,1,1,0,0,0,1
11,1,0,0,0,1,0,0,1,1,0,1,0,0
12,0,0,0,1,0,0,0,1,0,1,0,0,1
13,0,1,5,1,0,0,0,1,0,1,0,0,1
14,0,0,0,1,0,0,0,1,1,0,0,0,1
15,1,0,0,1,0,0,0,1,1,0,0,1,0
16,0,4,1,1,0,0,1,0,0,1,0,0,1
17,1,0,0,1,0,0,0,1,0,1,0,1,0
18,0,1,0,1,0,0,0,1,1,0,0,0,1
19,1,0,0,1,0,1,0,0,1,0,0,0,1
20,0,0,0,1,0,0,0,1,0,1,0,1,0
21,1,0,0,0,1,0,0,1,0,1,0,1,0
22,1,0,0,1,0,0,1,0,1,0,0,0,1
23,1,0,0,0,1,0,0,1,0,1,1,0,0
24,0,3,1,1,0,0,0,1,1,0,0,0,1
25,1,1,5,1,0,0,0,1,1,0,0,0,1
26,0,0,0,1,0,1,0,0,0,1,0,0,1
27,0,3,2,0,1,0,0,1,0,1,1,0,0
28,1,0,0,1,0,0,1,0,1,0,0,0,1
29,0,0,0,1,0,0,0,1,0,1,0,0,1
30,0,0,0,1,0,1,0,0,0,1,1,0,0
31,1,1,0,0,1,1,0,0,1,0,1,0,0
32,1,0,0,1,0,0,1,0,1,0,0,0,1
33,0,0,0,1,0,0,0,1,0,1,0,1,0
34,0,1,0,1,0,1,0,0,0,1,1,0,0
35,0,1,0,1,0,0,0,1,0,1,1,0,0
36,1,0,0,1,0,1,0,0,0,1,0,0,1
37,0,0,0,1,0,0,0,1,0,1,0,0,1
38,0,2,0,1,0,0,0,1,1,0,0,0,1
39,1,1,0,1,0,1,0,0,1,0,0,0,1
40,0,1,0,1,0,0,0,1,1,0,0,0,1
41,0,1,0,1,0,0,0,1,1,0,0,1,0
42,0,0,0,1,0,1,0,0,0,1,0,0,1
43,1,1,2,1,0,1,0,0,1,0,0,1,0
44,1,0,0,1,0,0,1,0,1,0,0,0,1
45,0,0,0,1,0,0,0,1,0,1,0,0,1
46,0,1,0,1,0,0,1,0,0,1,0,0,1
47,1,0,0,1,0,0,1,0,1,0,0,0,1
48,0,2,0,1,0,1,0,0,0,1,0,0,1
49,0,1,0,1,0,0,0,1,1,0,0,0,1
50,0,4,1,1,0,0,0,1,0,1,0,0,1
51,0,0,0,1,0,0,0,1,0,1,0,0,1
52,1,1,0,0,1,1,0,0,1,0,1,0,0
53,1,1,0,1,0,0,0,1,1,0,0,1,0
54,0,0,1,0,1,1,0,0,0,1,1,0,0
55,1,0,0,0,1,0,0,1,0,1,1,0,0
56,1,0,0,1,0,0,0,1,1,0,0,1,0
57,0,0,0,1,0,1,0,0,0,1,0,0,1
58,1,1,2,1,0,0,0,1,1,0,0,1,0
59,0,5,2,1,0,0,0,1,0,1,0,0,1
60,0,0,0,1,0,1,0,0,0,1,0,0,1
61,1,0,0,0,1,0,0,0,1,0,1,0,0
62,0,1,0,0,1,0,0,1,0,1,1,0,0
63,0,3,2,1,0,0,0,1,0,1,0,0,1
64,0,0,0,1,0,1,0,0,0,1,1,0,0
65,1,1,1,1,0,1,0,0,0,1,0,0,1
66,1,0,0,0,1,0,0,1,1,0,0,1,0
67,0,0,0,1,0,0,0,1,0,1,0,0,1
68,1,4,2,1,0,0,0,1,1,0,0,0,1
69,0,2,0,1,0,0,0,1,0,1,0,0,1
70,0,0,0,1,0,0,0,1,0,1,0,1,0
71,0,5,2,1,0,0,0,1,1,0,0,0,1
72,0,0,0,1,0,0,0,1,0,1,0,1,0
73,0,1,0,1,0,1,0,0,0,1,0,0,1
74,1,0,0,1,0,0,0,1,0,1,0,0,1
75,0,0,0,0,1,0,0,1,0,1,0,0,1
76,0,0,0,1,0,0,0,1,0,1,0,0,1
77,0,0,0,1,0,0,0,1,0,1,0,0,1
78,1,0,2,1,0,0,0,1,0,1,0,1,0
79,1,0,0,1,0,0,0,1,1,0,0,0,1
80,0,0,0,1,0,0,0,1,0,1,0,0,1
81,1,0,0,1,0,0,0,1,0,1,0,0,1
82,1,0,0,1,0,0,1,0,1,0,0,0,1
83,0,0,0,1,0,0,0,1,0,1,1,0,0
84,1,0,0,1,0,0,0,1,1,0,0,1,0
85,1,3,0,1,0,0,0,1,1,0,0,0,1
86,0,1,3,1,0,0,0,1,0,1,0,0,1
87,0,0,0,1,0,0,0,1,0,1,0,0,1
88,1,3,2,0,1,0,0,1,1,0,1,0,0
89,0,0,0,1,0,0,0,1,0,1,0,0,1
90,0,0,0,1,0,0,0,1,0,1,0,0,1
91,0,0,0,1,0,0,0,1,0,1,0,0,1
92,0,1,0,0,1,0,0,1,0,1,1,0,0
93,0,1,2,1,0,0,0,1,0,1,0,0,1
94,0,0,0,1,0,0,0,1,0,1,0,0,1
95,0,0,0,1,0,0,0,1,0,1,0,0,1
96,0,0,0,0,1,1,0,0,0,1,1,0,0
97,1,0,1,0,1,1,0,0,0,1,1,0,0
98,1,0,1,1,0,0,0,1,1,0,0,1,0
99,0,1,0,1,0,0,0,1,0,1,0,1,0
100,0,0,0,1,0,0,0,1,1,0,0,0,1
101,0,0,0,1,0,0,0,1,0,1,0,0,1
102,0,0,1,0,1,0,0,1,0,1,1,0,0
103,0,0,0,1,0,0,0,1,0,1,0,0,1
104,0,2,0,1,0,0,0,1,0,1,0,0,1
105,0,0,0,1,0,0,0,1,0,1,0,0,1
106,1,0,0,1,0,0,0,1,1,0,0,0,1
107,1,0,0,1,0,0,0,1,0,1,0,0,1
108,0,0,0,1,0,0,0,1,0,1,0,0,1
109,1,1,0,1,0,0,1,0,1,0,0,0,1
110,0,0,0,0,1,0,0,1,0,1,1,0,0
111,0,1,0,1,0,1,0,0,1,0,0,0,1
112,0,0,0,1,0,0,0,1,0,1,0,0,1
113,0,1,0,1,0,0,0,1,1,0,0,0,1
114,0,0,0,1,0,1,0,0,1,0,0,0,1
115,0,0,0,1,0,0,0,1,0,1,0,0,1
116,0,0,0,1,0,0,1,0,0,1,0,0,1
117,0,1,0,1,0,0,0,1,0,1,0,1,0
118,0,0,1,0,1,1,0,0,0,1,1,0,0
119,0,4,2,1,0,0,0,1,1,0,0,0,1
120,0,2,0,1,0,0,0,1,0,1,0,1,0
121,0,0,0,1,0,0,0,1,0,1,0,0,1
122,0,1,0,1,0,1,0,0,0,1,0,1,0
123,1,0,0,0,1,0,0,1,1,0,0,1,0
124,0,0,1,0,1,0,0,1,0,1,1,0,0
125,1,1,0,1,0,1,0,0,0,1,0,0,1
126,0,0,0,1,0,0,1,0,0,1,0,0,1
127,1,0,0,1,0,0,0,1,0,1,0,0,1
128,1,1,1,0,1,1,0,0,1,0,0,0,1
129,0,0,0,1,0,0,0,1,0,1,0,0,1
130,0,0,0,1,0,1,0,0,0,1,0,0,1
131,0,0,0,1,0,0,0,1,0,1,0,0,1
132,0,1,0,1,0,0,0,1,1,0,0,0,1
133,1,1,0,1,0,0,0,1,1,0,0,1,0
134,0,0,0,1,0,0,0,1,0,1,0,1,0
135,0,0,0,1,0,1,0,0,0,1,0,1,0
136,1,0,2,0,1,0,0,1,1,0,1,0,0
137,0,1,0,0,1,0,0,1,0,1,1,0,0
138,0,0,0,1,0,0,0,1,0,1,0,0,1
139,0,0,0,0,1,1,0,0,0,1,1,0,0
140,0,0,2,1,0,1,0,0,1,0,0,0,1
141,1,0,0,1,0,0,0,1,1,0,0,0,1
142,1,1,0,1,0,0,0,1,1,0,0,0,1
143,0,0,0,1,0,0,1,0,0,1,0,0,1
144,0,0,0,1,0,0,0,1,0,1,0,1,0
145,0,1,1,1,0,0,0,1,0,1,0,1,0
146,1,0,0,1,0,0,0,1,0,1,0,0,1
147,0,2,2,1,0,0,0,1,1,0,0,0,1
148,0,0,2,0,1,0,0,1,0,1,0,1,0
149,0,0,0,1,0,0,0,1,0,1,0,1,0
150,0,0,0,1,0,0,0,1,0,1,0,1,0
151,1,1,0,0,1,0,0,1,1,0,1,0,0
152,0,0,0,1,0,0,0,1,0,1,0,0,1
153,0,0,2,1,0,0,0,1,0,1,0,0,1
154,0,0,0,1,0,0,0,1,0,1,0,0,1
155,0,0,1,1,0,1,0,0,0,1,1,0,0
156,1,0,0,1,0,0,1,0,1,0,0,0,1
157,0,0,0,1,0,0,0,1,0,1,0,0,1
158,0,0,0,1,0,0,0,1,0,1,0,0,1
159,0,8,2,1,0,0,0,1,0,1,0,0,1
160,0,0,1,1,0,0,0,1,0,1,0,0,1
